labelx,text,label,stem
akomodasi,Apa saja penginapan dengan pemandangan indah di Sumatera Barat?,0,inap pandang indah sumatera barat
belanja,Dimana saya bisa menemukan toko oleh-oleh di Bukittinggi?,2,mana temu toko bukittinggi
rekomendasi,Apa saja tempat wisata halal yang direkomendasikan di Sumatera Barat?,6,wisata halal rekomendasi sumatera barat
rekomendasi,Bisakah Anda merekomendasikan destinasi wisata halal di Sumatera Barat?,6,rekomendasi destinasi wisata halal sumatera barat
transportasi,Apa saja pilihan transportasi dari bandara ke kota di Sumatera Barat?,7,pilih transportasi bandara kota sumatera barat
budaya,Rekomendasi tempat untuk melihat rumah gadang di Sumatera Barat?,3,rekomendasi rumah gadang sumatera barat
aktivitas,Apa saja aktivitas halal di Sumatera Barat?,1,aktivitas halal sumatera barat
akomodasi,Apakah Anda tahu cara menemukan homestay yang mengakomodasi kebutuhan Muslim di Sumatera Barat?,0,temu homestay akomodasi butuh muslim sumatera barat
aktivitas,Aktivitas halal apa yang menarik di Sumatera Barat?,1,aktivitas halal tarik sumatera barat
akomodasi,Apa saja penginapan dengan pemandangan gunung di Sumatera Barat?,0,inap pandang gunung sumatera barat
aktivitas,Saran aktivitas halal di Sumatera Barat?,1,saran aktivitas halal sumatera barat
transportasi,Apa saran transportasi terbaik untuk menjelajahi Sumatera Barat?,7,saran transportasi baik jajah sumatera barat
budaya,Dimana saya bisa belajar tentang sejarah Sumatera Barat?,3,mana ajar sejarah sumatera barat
kuliner,Apa saja makanan khas Sumatera Barat yang tidak pedas?,4,makan khas sumatera barat pedas
umum,Apa definisi dari wisata halal?,8,definisi wisata halal
belanja,Apa toko oleh-oleh yang terkenal di Solok?,2,toko kenal solok
budaya,Dimana saya bisa belajar memasak masakan tradisional Sumatera Barat?,3,mana ajar masak masakan tradisional sumatera barat
umum,Apa yang dimaksud dengan wisata halal dalam konteks pariwisata?,8,wisata halal konteks pariwisata
rekomendasi,Rekomendasi tempat wisata halal di Sumatera Barat?,6,rekomendasi wisata halal sumatera barat
umum,Apa yang dimaksud dengan konsep perjalanan halal?,8,konsep jalan halal
aktivitas,Aktivitas halal di Sumatera Barat yang direkomendasikan?,1,aktivitas halal sumatera barat rekomendasi
budaya,Bagaimana perayaan adat di Sumatera Barat dipersiapkan?,3,raya adat sumatera barat siap
akomodasi,Apakah ada informasi tentang homestay yang cocok dengan praktik Islam di Sumatera Barat?,0,informasi homestay cocok praktik islam sumatera barat
akomodasi,Dimana saya bisa menemukan guesthouse yang mengakomodasi kebutuhan Muslim di Sumatera Barat?,0,mana temu guesthouse akomodasi butuh muslim sumatera barat
kuliner,Apa saja restoran dengan masakan Padang terbaik?,4,restoran masakan padang baik
umum,Bisakah Anda menguraikan apa itu wisata halal?,8,urai wisata halal
kuliner,Tempat makan halal apa yang enak di Sumatera Barat?,4,makan halal enak sumatera barat
budaya,Apa saja kegiatan budaya untuk anak-anak di Sumatera Barat?,3,giat budaya anak anak sumatera barat
kuliner,Apa saja tempat makan halal favorit di Sumatera Barat?,4,makan halal favorit sumatera barat
aktivitas,Ada kegiatan halal yang menarik di Sumatera Barat?,1,giat halal tarik sumatera barat
rekomendasi,Rekomendasi tempat wisata halal untuk keluarga di Sumatera Barat?,6,rekomendasi wisata halal keluarga sumatera barat
umum,Apa yang dimaksud dengan destinasi wisata halal?,8,destinasi wisata halal
kuliner,Kuliner halal di Sumatera Barat yang terkenal apa saja?,4,kuliner halal sumatera barat kenal
paket,Apa saja paket wisata halal yang tersedia di Sumatera Barat?,5,paket wisata halal sedia sumatera barat
kuliner,Apa saja makanan khas Sumatera Barat yang menggunakan santan?,4,makan khas sumatera barat santan
rekomendasi,Tempat wisata halal apa yang menarik di Sumatera Barat?,6,wisata halal tarik sumatera barat
transportasi,Rekomendasi layanan antar jemput bandara di Sumatera Barat?,7,rekomendasi layan jemput bandara sumatera barat
belanja,Dimana saya bisa membeli oleh-oleh khas Minangkabau?,2,mana beli khas minangkabau
belanja,Dimana saya bisa membeli kerajinan tangan di Sumatera Barat?,2,mana beli rajin tangan sumatera barat
paket,Paket wisata halal apa yang menarik untuk dicoba di Sumatera Barat?,5,paket wisata halal tarik coba sumatera barat
belanja,Dimana saya bisa menemukan pusat oleh-oleh di Pariaman?,2,mana temu pusat pariaman
akomodasi,Rekomendasi penginapan dengan layanan shuttle di Sumatera Barat?,0,rekomendasi inap layan shuttle sumatera barat
belanja,Dimana saya bisa membeli oleh-oleh halal di Pariaman?,2,mana beli halal pariaman
budaya,Bagaimana budaya dan adat istiadat mempengaruhi kehidupan sehari-hari penduduk Sumatera Barat?,3,budaya adat istiadat pengaruh hidup hari duduk sumatera barat
belanja,Apa toko oleh-oleh yang terkenal di Pariaman?,2,toko kenal pariaman
rekomendasi,Tempat wisata halal mana yang direkomendasikan di Sumatera Barat?,6,wisata halal rekomendasi sumatera barat
budaya,Apa saja museum budaya yang ada di Sumatera Barat?,3,museum budaya sumatera barat
budaya,Apa saja tempat untuk belajar bahasa Minangkabau di Sumatera Barat?,3,ajar bahasa minangkabau sumatera barat
paket,Dimana saya bisa menemukan paket wisata ramah lingkungan di Sumatera Barat?,5,mana temu paket wisata ramah lingkung sumatera barat
transportasi,Bagaimana cara menuju Sumatera Barat dari Medan?,7,sumatera barat medan
aktivitas,Apa saja kegiatan halal di Sumatera Barat?,1,giat halal sumatera barat
paket,Rekomendasi paket wisata halal tour di Sumatera Barat?,5,rekomendasi paket wisata halal tour sumatera barat
akomodasi,Rekomendasi penginapan dengan fasilitas spa di Sumatera Barat?,0,rekomendasi inap fasilitas spa sumatera barat
paket,Rekomendasi paket wisata untuk turis asing di Sumatera Barat?,5,rekomendasi paket wisata turis asing sumatera barat
budaya,Bagaimana nilai-nilai kearifan lokal tercermin dalam budaya dan adat istiadat Sumatera Barat?,3,nilai nilai arif lokal cermin budaya adat istiadat sumatera barat
umum,Bisakah Anda menjelaskan konsep wisata halal?,8,konsep wisata halal
akomodasi,Hotel dengan restoran terbaik di Sumatera Barat?,0,hotel restoran baik sumatera barat
budaya,Apa saja seni pertunjukan yang terkenal di Sumatera Barat?,3,seni tunjuk kenal sumatera barat
belanja,Dimana saya bisa menemukan toko oleh-oleh di Bukittinggi?,2,mana temu toko bukittinggi
aktivitas,Ada rekomendasi kegiatan halal yang menarik di Sumatera Barat?,1,rekomendasi giat halal tarik sumatera barat
rekomendasi,Tempat wisata halal apa yang populer di Sumatera Barat?,6,wisata halal populer sumatera barat
umum,Apa yang disebut sebagai wisata halal?,8,wisata halal
kuliner,Apa saja restoran halal unggulan di Sumatera Barat?,4,restoran halal unggul sumatera barat
akomodasi,Hotel dengan fasilitas lengkap di Sumatera Barat?,0,hotel fasilitas lengkap sumatera barat
transportasi,Rekomendasi tempat penyewaan sepeda motor di Sumatera Barat?,7,rekomendasi sewa sepeda motor sumatera barat
rekomendasi,Wisata halal yang terkenal di Sumatera Barat apa saja?,6,wisata halal kenal sumatera barat
transportasi,Apa saja layanan transportasi untuk wisatawan di Sumatera Barat?,7,layan transportasi wisatawan sumatera barat
kuliner,Apa saja makanan khas Sumatera Barat yang bisa dibawa pulang?,4,makan khas sumatera barat bawa pulang
belanja,Apa pusat perbelanjaan yang terkenal di Padang?,2,pusat belanja kenal padang
akomodasi,Tolong sarankan saya cara menemukan homestay yang ramah Muslim di Sumatera Barat.,0,tolong saran temu homestay ramah muslim sumatera barat
akomodasi,Apa saja penginapan yang dekat dengan pusat perbelanjaan di Sumatera Barat?,0,inap pusat belanja sumatera barat
kuliner,Restoran halal mana yang direkomendasikan di Sumatera Barat?,4,restoran halal rekomendasi sumatera barat
aktivitas,Kegiatan halal apa yang terkenal di Sumatera Barat?,1,giat halal kenal sumatera barat
kuliner,Kuliner halal apa yang wajib dicoba di Sumatera Barat?,4,kuliner halal wajib coba sumatera barat
paket,Apa saja paket wisata keluarga di Sumatera Barat?,5,paket wisata keluarga sumatera barat
transportasi,Apa transportasi terbaik untuk berwisata di Sumatera Barat?,7,transportasi baik wisata sumatera barat
paket,Rekomendasi paket wisata sejarah di Sumatera Barat?,5,rekomendasi paket wisata sejarah sumatera barat
belanja,Apa pusat perbelanjaan terbesar di Bukittinggi?,2,pusat belanja besar bukittinggi
umum,Apa yang dimaksud dengan destinasi wisata halal?,8,destinasi wisata halal
kuliner,Apa saja makanan pedas khas Sumatera Barat?,4,makan pedas khas sumatera barat
umum,Apa yang termasuk dalam definisi wisata halal?,8,definisi wisata halal
akomodasi,Apa saja penginapan backpacker di Sumatera Barat?,0,inap backpacker sumatera barat
kuliner,Saran tempat makan halal di Sumatera Barat?,4,saran makan halal sumatera barat
rekomendasi,Ada rekomendasi tempat wisata halal di Sumatera Barat?,6,rekomendasi wisata halal sumatera barat
akomodasi,Rekomendasi penginapan untuk bulan madu di Sumatera Barat?,0,rekomendasi inap madu sumatera barat
transportasi,Apa kendaraan umum yang paling andal di Sumatera Barat?,7,kendara andal sumatera barat
paket,Ada rekomendasi paket wisata halal di Sumatera Barat?,5,rekomendasi paket wisata halal sumatera barat
umum,Apa sebenarnya wisata halal itu?,8,wisata halal
aktivitas,Apa saja aktivitas halal yang bisa dilakukan di Sumatera Barat?,1,aktivitas halal sumatera barat
umum,Apa yang disebut sebagai wisata halal?,8,wisata halal
transportasi,Apa pilihan kendaraan yang paling direkomendasikan di Sumatera Barat?,7,pilih kendara rekomendasi sumatera barat
rekomendasi,Dimana tempat wisata halal yang bagus di Sumatera Barat?,6,mana wisata halal bagus sumatera barat
belanja,Dimana saya bisa membeli oleh-oleh halal di Bukittinggi?,2,mana beli halal bukittinggi
akomodasi,Tolong beri tahu saya cara menemukan homestay yang sesuai dengan kepercayaan Muslim di Sumatera Barat.,0,tolong temu homestay sesuai percaya muslim sumatera barat
transportasi,Bagaimana cara terbaik untuk berkeliling Sumatera Barat?,7,baik keliling sumatera barat
